date,search_term,value
2008-03,Python data,2
2008-04,Python data,3
2008-05,Python data,3
2008-06,Python data,3
2008-07,Python data,3
2008-08,Python data,3
2008-09,Python data,3
2008-10,Python data,3
2008-11,Python data,3
2008-12,Python data,3
2009-01,Python data,3
2009-02,Python data,3
2009-03,Python data,3
2009-04,Python data,3
2009-05,Python data,4
2009-06,Python data,3
2009-07,Python data,3
2009-08,Python data,2
2009-09,Python data,4
2009-10,Python data,3
2009-11,Python data,3
2009-12,Python data,3
2010-01,Python data,3
2010-02,Python data,3
2010-03,Python data,3
2010-04,Python data,4
2010-05,Python data,4
2010-06,Python data,4
2010-07,Python data,3
2010-08,Python data,3
2010-09,Python data,3
2010-10,Python data,4
2010-11,Python data,4
2010-12,Python data,4
2011-01,Python data,4
2011-02,Python data,3
2011-03,Python data,4
2011-04,Python data,4
2011-05,Python data,4
2011-06,Python data,4
2011-07,Python data,4
2011-08,Python data,3
2011-09,Python data,4
2011-10,Python data,4
2011-11,Python data,4
2011-12,Python data,4
2012-01,Python data,4
2012-02,Python data,5
2012-03,Python data,5
2012-04,Python data,5
2012-05,Python data,5
2012-06,Python data,5
2012-07,Python data,5
2012-08,Python data,5
2012-09,Python data,5
2012-10,Python data,6
2012-11,Python data,5
2012-12,Python data,5
2013-01,Python data,6
2013-02,Python data,6
2013-03,Python data,6
2013-04,Python data,7
2013-05,Python data,7
2013-06,Python data,7
2013-07,Python data,7
2013-08,Python data,7
2013-09,Python data,7
2013-10,Python data,8
2013-11,Python data,8
2013-12,Python data,6
2014-01,Python data,8
2014-02,Python data,9
2014-03,Python data,9
2014-04,Python data,9
2014-05,Python data,9
2014-06,Python data,9
2014-07,Python data,9
2014-08,Python data,8
2014-09,Python data,9
2014-10,Python data,10
2014-11,Python data,10
2014-12,Python data,9
2015-01,Python data,10
2015-02,Python data,12
2015-03,Python data,12
2015-04,Python data,11
2015-05,Python data,11
2015-06,Python data,13
2015-07,Python data,13
2015-08,Python data,12
2015-09,Python data,14
2015-10,Python data,14
2015-11,Python data,14
2015-12,Python data,14
2016-01,Python data,14
2016-02,Python data,16
2016-03,Python data,17
2016-04,Python data,17
2016-05,Python data,18
2016-06,Python data,18
2016-07,Python data,17
2016-08,Python data,17
2016-09,Python data,19
2016-10,Python data,20
2016-11,Python data,22
2016-12,Python data,20
2017-01,Python data,22
2017-02,Python data,26
2017-03,Python data,29
2017-04,Python data,28
2017-05,Python data,27
2017-06,Python data,29
2017-07,Python data,26
2017-08,Python data,27
2017-09,Python data,30
2017-10,Python data,31
2017-11,Python data,34
2017-12,Python data,29
2018-01,Python data,32
2018-02,Python data,35
2018-03,Python data,36
2018-04,Python data,37
2004-01,R data,8
2004-02,R data,10
2004-03,R data,6
2004-04,R data,7
2004-05,R data,7
2004-06,R data,12
2004-07,R data,7
2004-08,R data,7
